case,pa_x_cm,pa_y_cm,pa_z_cm,va_x_cms,va_y_cms,va_z_cms,pb_x_cm,pb_y_cm,pb_z_cm,vb_x_cms,vb_y_cms,vb_z_cms,safety_cm,horizon_ms,expected_risk,expected_tcpa_ms,expected_dcpa_cm,telemetry_a_hex,telemetry_b_hex
23747,19932,-6196,-8587,-1434,1332,-511,-16236,-14436,10073,-835,-1696,-761,976,6364,0,144,41521,d7020100050000015cc300000000000000004ddcffffe7ccffffde75fa660534fe01e890,d7020100050000025cc3000000000000ffffc094ffffc79c00002759fcbdf960fd0729af
23748,-4302,-12779,-11925,-1977,1494,1736,18243,4166,-10087,700,-310,1009,247,8339,0,,28262,d7020100050000015cc4000000000000ffffef32ffffce15ffffd16bf84705d606c8040b,d7020100050000025cc40000000000000000474300001046ffffd89902bcfeca03f1db64
23749,-4178,13735,-15492,473,-1677,706,10608,1087,-5854,1337,-1302,1154,526,10619,0,,21713,d7020100050000015cc5000000000000ffffefae000035a7ffffc37c01d9f97302c2ef0e,d7020100050000025cc5000000000000000029700000043fffffe9220539faea0482a47e
23750,7111,10187,6561,1739,-1052,320,9383,2249,9133,571,1635,1477,683,9878,0,2117,5505,d7020100050000015cc600000000000000001bc7000027cb000019a106cbfbe401408690,d7020100050000025cc6000000000000000024a7000008c9000023ad023b066305c56607
23751,-10643,-19050,3520,-653,-645,-1164,-19794,-12240,-11755,1339,1814,1140,850,5226,0,2394,16602,d7020100050000015cc7000000000000ffffd66dffffb59600000dc0fd73fd7bfb742ec5,d7020100050000025cc7000000000000ffffb2aeffffd030ffffd215053b071604743d95
23752,5882,-3409,5834,541,-1978,-1253,1433,7272,15513,1398,-1217,-911,650,9121,0,,15085,d7020100050000015cc8000000000000000016fafffff2af000016ca021df846fb1b241a,d7020100050000025cc80000000000000000059900001c6800003c990576fb3ffc71aced
23753,-12419,8641,6004,-960,1807,171,-12951,19158,1140,743,-1262,-1366,111,6252,0,1751,9462,d7020100050000015cc9000000000000ffffcf7d000021c100001774fc40070f00ab45e4,d7020100050000025cc9000000000000ffffcd6900004ad60000047402e7fb12faaaaa40
23754,19959,-17493,6830,-280,-905,-139,-6534,1616,369,-1159,438,-1863,624,10750,0,,33298,d7020100050000015cca00000000000000004df7ffffbbab00001aaefee8fc77ff75e3b4,d7020100050000025cca000000000000ffffe67a0000065000000171fb7901b6f8b91662
23755,-2635,-15869,18367,-1330,-644,1980,15376,13075,8396,-1940,-1816,1431,669,1864,0,19264,22403,d7020100050000015ccb000000000000fffff5b5ffffc203000047bffacefd7c07bc6060,d7020100050000025ccb00000000000000003c1000003313000020ccf86cf8e8059712d1
23756,14833,5207,-9566,654,103,-1865,-4549,-2608,-14366,-1965,-972,-1651,206,10353,0,,21442,d7020100050000015ccc000000000000000039f100001457ffffdaa2028e0067f8b76b5b,d7020100050000025ccc000000000000ffffee3bfffff5d0ffffc7e2f853fc34f98d1d8b
23757,-8087,-2930,-13214,-1654,-31,-188,-1509,6665,4314,-729,1701,-721,203,10711,0,,21037,d7020100050000015ccd000000000000ffffe069fffff48effffcc62f98affe1ff448e05,d7020100050000025ccd000000000000fffffa1b00001a09000010dafd2706a5fd2fcb58
23758,13202,-723,15990,-1411,-1748,349,1061,14196,3943,-461,894,-23,422,12178,0,,22696,d7020100050000015cce00000000000000003392fffffd2d00003e76fa7df92c015dd35a,d7020100050000025cce000000000000000004250000377400000f67fe33037effe9f021
23759,-15101,10496,14252,-575,-525,-1953,12504,-14641,-2084,-1596,-1354,1563,965,12935,0,4597,36918,d7020100050000015ccf000000000000ffffc50300002900000037acfdc1fdf3f85faf1a,d7020100050000025ccf000000000000000030d8ffffc6cffffff7dcf9c4fab6061bd9de
23760,-19868,-15810,-14501,1321,-532,1477,18652,-14280,-316,-1218,-532,1653,621,10089,0,14713,16884,d7020100050000015cd0000000000000ffffb264ffffc23effffc75b0529fdec05c52a98,d7020100050000025cd0000000000000000048dcffffc838fffffec4fb3efdec067525ea
23761,12571,-5381,-3023,101,1278,-1066,17204,7595,-15318,-709,-422,-1382,530,13167,0,6014,14461,d7020100050000015cd10000000000000000311bffffeafbfffff431006504fefbd6199d,d7020100050000025cd10000000000000000433400001dabffffc42afd3bfe5afa9ac058
23762,19939,-5227,-4756,-462,1771,856,3474,5884,-19433,414,-703,-765,698,11424,0,1904,23988,d7020100050000015cd200000000000000004de3ffffeb95ffffed6cfe3206eb0358334c,d7020100050000025cd200000000000000000d92000016fcffffb417019efd41fd035933
23763,-9691,18289,-3719,1653,-698,1500,-6220,-6416,-14362,-733,857,1401,920,8241,0,5621,21888,d7020100050000015cd3000000000000ffffda2500004771fffff1790675fd4605dc183a,d7020100050000025cd3000000000000ffffe7b4ffffe6f0ffffc7e6fd23035905791dbb
23764,17366,-16282,-14165,1327,-1557,-1063,16588,-11333,-9209,-430,-871,658,805,3583,0,,7046,d7020100050000015cd4000000000000000043d6ffffc066ffffc8ab052ff9ebfbd9c8b5,d7020100050000025cd4000000000000000040ccffffd3bbffffdc07fe52fc9902922bcd
23765,18011,-1564,-2196,280,1248,-986,2526,9565,3993,-351,1144,-311,664,12535,0,,20048,d7020100050000015cd50000000000000000465bfffff9e4fffff76c011804e0fc26c753,d7020100050000025cd5000000000000000009de0000255d00000f99fea10478fec9128d
23766,1250,-2559,3714,564,-1499,789,-19607,-7682,-17765,341,-1778,712,825,14815,0,,30374,d7020100050000015cd6000000000000000004e2fffff60100000e820234fa2503155165,d7020100050000025cd6000000000000ffffb369ffffe1feffffba9b0155f90e02c8c82f
23767,11219,-12099,859,-469,1389,1555,12424,-6236,11053,963,1172,-245,219,11187,0,3353,8929,d7020100050000015cd700000000000000002bd3ffffd0bd0000035bfe2b056d061311a1,d7020100050000025cd700000000000000003088ffffe7a400002b2d03c30494ff0bbd54
23768,-3888,-4265,-19733,603,1466,-17,-2407,-17328,14066,-819,-747,-1878,255,1472,0,3477,34492,d7020100050000015cd8000000000000fffff0d0ffffef57ffffb2eb025b05baffef0c84,d7020100050000025cd8000000000000fffff699ffffbc50000036f2fccdfd15f8aa69b0
23769,15625,-17895,-1318,428,-116,-1890,6724,17152,-17324,1866,792,1826,742,14902,0,2422,38284,d7020100050000015cd900000000000000003d09ffffba19fffffada01acff8cf89e13c1,d7020100050000025cd900000000000000001a4400004300ffffbc54074a031807220f92
23770,-10005,-13918,1459,-1707,1669,997,-15805,6880,14189,-249,738,573,996,5984,0,10471,16746,d7020100050000015cda000000000000ffffd8ebffffc9a2000005b3f955068503e5e575,d7020100050000025cda000000000000ffffc24300001ae00000376dff0702e2023d85da
23771,-4992,-14917,3698,1546,1106,-153,-5387,8788,-9905,1697,1045,964,601,14050,0,13106,22983,d7020100050000015cdb000000000000ffffec80ffffc5bb00000e72060a0452ff67d953,d7020100050000025cdb000000000000ffffeaf500002254ffffd94f06a1041503c4900d
23772,-14505,6084,15659,1759,1472,-766,4576,-15376,3670,604,1478,932,339,6325,0,10083,23228,d7020100050000015cdc000000000000ffffc757000017c400003d2b06df05c0fd0258ff,d7020100050000025cdc000000000000000011e0ffffc3f000000e56025c05c603a48d21
23773,10274,-17288,12494,1853,-1248,-382,17387,-17170,17002,-1795,1427,129,205,5788,0,1126,6683,d7020100050000015cdd00000000000000002822ffffbc78000030ce073dfb20fe828de4,d7020100050000025cdd000000000000000043ebffffbcee0000426af8fd059300819d0a
23774,-9262,-7657,8129,1049,1776,100,1277,10231,-8648,887,-1620,1175,267,4398,0,6330,14246,d7020100050000015cde000000000000ffffdbd2ffffe21700001fc1041906f00064346e,d7020100050000025cde000000000000000004fd000027f7ffffde380377f9ac049721a1
23775,2800,17082,-14102,815,1403,1179,17918,11645,-14036,-697,1842,-13,295,3445,0,6494,9678,d7020100050000015cdf00000000000000000af0000042baffffc8ea032f057b049b3084,d7020100050000025cdf000000000000000045fe00002d7dffffc92cfd470732fff3993f
23776,-5122,17390,86,-1695,-675,-109,10941,-2865,-1531,1324,1960,61,276,1657,0,320,25869,d7020100050000015ce0000000000000ffffebfe000043ee00000056f961fd5dff93b939,d7020100050000025ce000000000000000002abdfffff4cffffffa05052c07a8003d0b25
23777,16416,-1274,777,275,-576,-736,-7203,12771,-7546,433,1350,-215,804,2837,0,,28712,d7020100050000015ce100000000000000004020fffffb06000003090113fdc0fd20ed6e,d7020100050000025ce1000000000000ffffe3dd000031e3ffffe28601b10546ff295e10
23778,18478,-18380,7892,856,-1693,929,-6435,12777,-4136,607,-1126,-923,465,11139,0,,41666,d7020100050000015ce20000000000000000482effffb83400001ed40358f96303a16d0b,d7020100050000025ce2000000000000ffffe6dd000031e9ffffefd8025ffb9afc65ffc1
23779,992,4819,-10305,182,784,789,16913,-6061,-3682,-1723,-1470,1991,477,6054,0,,20389,d7020100050000015ce3000000000000000003e0000012d3ffffd7bf00b6031003150c0a,d7020100050000025ce300000000000000004211ffffe853fffff19ef945fa4207c759c7
23780,10295,-10585,13856,-404,294,1928,-16204,-12831,-15744,-535,1691,241,392,12347,0,,39791,d7020100050000015ce400000000000000002837ffffd6a700003620fe6c01260788ae21,d7020100050000025ce4000000000000ffffc0b4ffffcde1ffffc280fde9069b00f11e82
23781,-11600,19083,-18338,1126,59,-679,-14925,-3136,-9198,-1016,941,-1688,170,14979,0,3399,22683,d7020100050000015ce5000000000000ffffd2b000004a8bffffb85e0466003bfd597cc4,d7020100050000025ce5000000000000ffffc5b3fffff3c0ffffdc12fc0803adf968cbb2
23782,-8763,-12142,17000,747,-1228,-562,-14942,10018,135,1214,-554,-1013,503,6389,0,,28524,d7020100050000015ce6000000000000ffffddc5ffffd0920000426802ebfb34fdce14ee,d7020100050000025ce6000000000000ffffc5a2000027220000008704befdd6fc0b2c74
23783,-6426,14525,3223,-784,12,1051,5098,12666,-8591,-1771,59,1353,355,14166,0,14078,8015,d7020100050000015ce7000000000000ffffe6e6000038bd00000c97fcf0000c041bd2aa,d7020100050000025ce7000000000000000013ea0000317affffde71f915003b054992a7
23784,-8721,-12943,-7881,534,-495,1446,-13478,-11293,5578,832,-1037,318,296,10236,0,10570,4645,d7020100050000015ce8000000000000ffffddefffffcd71ffffe1370216fe1105a629f9,d7020100050000025ce8000000000000ffffcb5affffd3e3000015ca0340fbf3013e5bff
23785,-3499,-14735,9675,573,1239,1108,1787,110,-16776,516,1227,-163,247,3656,0,,30789,d7020100050000015ce9000000000000fffff255ffffc671000025cb023d04d704544304,d7020100050000025ce9000000000000000006fb0000006effffbe78020404cbff5d7ad4
23786,-12786,17346,-10990,1052,-1986,-1416,18366,-3596,-6799,639,-1819,-422,916,12324,0,10280,36072,d7020100050000015cea000000000000ffffce0e000043c2ffffd512041cf83efa7808e2,d7020100050000025cea000000000000000047befffff1f4ffffe571027ff8e5fe5a1cf7
23787,-10755,1103,9562,-1213,927,1532,1444,-5587,-8586,994,-1768,-318,326,1895,0,,22867,d7020100050000015ceb000000000000ffffd5fd0000044f0000255afb43039f05fcb199,d7020100050000025ceb000000000000000005a4ffffea2dffffde7603e2f918fec26497
23788,-15344,-2334,396,-1587,1397,770,-6952,-12057,16207,263,-36,-1774,775,11382,0,901,20130,d7020100050000015cec000000000000ffffc410fffff6e20000018cf9cd057503029c37,d7020100050000025cec000000000000ffffe4d8ffffd0e700003f4f0107ffdcf912f525
23789,-4043,-12465,15702,929,1353,442,13753,-12737,1922,790,1644,-716,769,1991,0,,22509,d7020100050000015ced000000000000fffff035ffffcf4f00003d5603a1054901ba4d1f,d7020100050000025ced000000000000000035b9ffffce3f000007820316066cfd340551
23790,19073,2398,9546,647,-1206,-976,-15774,-3522,-11400,1029,60,949,106,11256,0,11207,31670,d7020100050000015cee00000000000000004a810000095e0000254a0287fb4afc3049e3,d7020100050000025cee000000000000ffffc262fffff23effffd3780405003c03b58a54
23791,-746,-10624,18292,-1613,177,-1697,5953,-4167,3926,1792,-20,-643,953,13494,0,,17115,d7020100050000015cef000000000000fffffd16ffffd68000004774f9b300b1f95f51a3,d7020100050000025cef00000000000000001741ffffefb900000f560700ffecfd7dc88e
23792,-796,9318,875,-1605,625,-740,-11636,-4166,-4870,863,-1569,-516,254,11409,0,,18229,d7020100050000015cf0000000000000fffffce4000024660000036bf9bb0271fd1ce94e,d7020100050000025cf0000000000000ffffd28cffffefbaffffecfa035ff9dffdfc69d5
23793,-16835,-8138,-16623,-1301,-1422,-826,3613,-10984,8707,709,-965,1072,939,5008,0,,32677,d7020100050000015cf1000000000000ffffbe3dffffe036ffffbf11faebfa72fcc6e6d2,d7020100050000025cf100000000000000000e1dffffd5180000220302c5fc3b043008ff
23794,8319,5579,-698,63,1168,159,18027,-8503,11122,1017,692,-1229,826,7056,0,144,20789,d7020100050000015cf20000000000000000207f000015cbfffffd46003f0490009f2d9b,d7020100050000025cf20000000000000000466bffffdec900002b7203f902b4fb3394c2
23795,287,-6407,-4880,941,-92,1977,-17844,13909,-14069,336,-772,-1905,626,10434,0,,28738,d7020100050000015cf30000000000000000011fffffe6f9ffffecf003adffa407b92cc9,d7020100050000025cf3000000000000ffffba4c00003655ffffc90b0150fcfcf88f87df
23796,1281,-5533,18684,-1607,791,70,795,-2658,19021,-1353,-566,281,525,3804,0,2027,775,d7020100050000015cf400000000000000000501ffffea63000048fcf9b90317004643c7,d7020100050000025cf40000000000000000031bfffff59e00004a4dfab7fdca0119e3c9
23797,3647,-1750,-15448,-725,-854,1962,16104,1849,14155,1711,-1766,465,668,10696,0,1916,31802,d7020100050000015cf500000000000000000e3ffffff92affffc3a8fd2bfcaa07aa0600,d7020100050000025cf500000000000000003ee8000007390000374b06aff91a01d11308
23798,-14717,6730,-3876,-1822,-69,-52,80,-18798,1818,-1493,-1225,1293,676,13953,0,,30050,d7020100050000015cf6000000000000ffffc68300001a4afffff0dcf8e2ffbbffcc1287,d7020100050000025cf600000000000000000050ffffb6920000071afa2bfb37050da3be
23799,-3662,17449,935,1112,-1074,1920,8783,2852,-17245,-803,627,834,220,5759,0,3736,24298,d7020100050000015cf7000000000000fffff1b200004429000003a70458fbce0780f86a,d7020100050000025cf70000000000000000224f00000b24ffffbca3fcdd02730342ad9f
23800,10793,7331,15048,-49,1071,1781,-2458,-17777,-7030,-745,1003,-1645,549,8352,0,,35964,d7020100050000015cf800000000000000002a2900001ca300003ac8ffcf042f06f57685,d7020100050000025cf8000000000000fffff666ffffba8fffffe48afd1703ebf9939e75
23801,-17766,19393,-19143,1478,571,330,-17418,-4753,-16801,1219,1466,1441,948,6083,0,9084,20374,d7020100050000015cf9000000000000ffffba9a00004bc1ffffb53905c6023b014a0fd7,d7020100050000025cf9000000000000ffffbbf6ffffed6fffffbe5f04c305ba05a1faed
23802,7311,-13634,-19976,1381,-1805,1672,-2721,-15181,-15725,-1507,1380,-1609,970,6500,0,,11004,d7020100050000015cfa00000000000000001c8fffffcabeffffb1f80565f8f306885c23,d7020100050000025cfa000000000000fffff55fffffc4b3ffffc293fa1d0564f9b70230
23803,19591,2676,19066,1933,-1646,-567,14963,4140,10334,-1766,1149,1874,215,1275,0,4,9990,d7020100050000015cfb00000000000000004c8700000a7400004a7a078df992fdc9ce68,d7020100050000025cfb00000000000000003a730000102c0000285ef91a047d07526e70
23804,-7697,-1598,-6218,-790,791,1534,-26,-18951,15194,-41,112,284,981,11529,0,3574,28025,d7020100050000015cfc000000000000ffffe1effffff9c2ffffe7b6fcea031705fe6311,d7020100050000025cfc000000000000ffffffe6ffffb5f900003b5affd70070011c3221
23805,3066,9249,-15291,-150,622,717,-1864,11303,12518,-1533,1133,-1269,199,12060,0,7741,20862,d7020100050000015cfd00000000000000000bfa00002421ffffc445ff6a026e02cd6ffb,d7020100050000025cfd000000000000fffff8b800002c27000030e6fa03046dfb0bb393
23806,6960,-1352,-11632,-831,69,-1423,2315,18341,2073,-900,1475,926,784,12748,0,,24438,d7020100050000015cfe00000000000000001b30fffffab8ffffd290fcc10045fa71231a,d7020100050000025cfe0000000000000000090b000047a500000819fc7c05c3039e0054
23807,-13735,-13886,-2020,701,1219,1569,18840,7646,-4191,-1501,185,-549,103,4273,0,8593,27592,d7020100050000015cff000000000000ffffca59ffffc9c2fffff81c02bd04c306212c70,d7020100050000025cff0000000000000000499800001ddeffffefa1fa2300b9fddbe709
23808,-428,-12070,18201,-1018,-1805,-961,17448,2788,-8681,1017,-781,-11,865,12676,0,,35538,d7020100050000015d00000000000000fffffe54ffffd0da00004719fc06f8f3fc3fc4ab,d7020100050000025d000000000000000000442800000ae4ffffde1703f9fcf3fff53cd4
23809,7289,4478,15303,-1915,561,-1638,-18034,-2157,5853,-334,-504,-1739,932,1675,0,8786,22210,d7020100050000015d0100000000000000001c790000117e00003bc7f8850231f99adbd3,d7020100050000025d01000000000000ffffb98efffff793000016ddfeb2fe08f935256f
23810,17104,-17064,3296,-745,-1627,300,17330,6175,-1935,50,-498,-121,481,11301,0,,23821,d7020100050000015d02000000000000000042d0ffffbd5800000ce0fd17f9a5012ca495,d7020100050000025d02000000000000000043b20000181ffffff8710032fe0eff879c54
23811,-12334,-5041,-8585,1531,-519,-1583,3768,-7517,5839,576,1264,-1862,351,2693,0,5713,18368,d7020100050000015d03000000000000ffffcfd2ffffec4fffffde7705fbfdf9f9d1f955,d7020100050000025d0300000000000000000eb8ffffe2a3000016cf024004f0f8ba754e
23812,-1294,-11361,-11829,-1495,1385,-90,-16772,-520,17626,983,-1617,11,645,4306,0,4480,30338,d7020100050000015d04000000000000fffffaf2ffffd39fffffd1cbfa290569ffa6abb7,d7020100050000025d04000000000000ffffbe7cfffffdf8000044da03d7f9af000b6867
23813,1081,-16591,14607,-1326,1434,-563,2565,16436,14204,507,576,1138,883,2546,0,3763,31530,d7020100050000015d0500000000000000000439ffffbf310000390ffad2059afdcd1e91,d7020100050000025d0500000000000000000a05000040340000377c01fb02400472becb
23814,-17944,-6488,19333,-1976,1923,1902,-19613,11071,-8957,395,234,-1016,585,10576,0,,33338,d7020100050000015d06000000000000ffffb9e8ffffe6a800004b85f8480783076ece6a,d7020100050000025d06000000000000ffffb36300002b3fffffdd03018b00eafc083655
23815,-13097,724,-8519,1042,488,1170,5464,-14467,-8518,-130,1116,-1382,568,7838,0,3779,21377,d7020100050000015d07000000000000ffffccd7000002d4ffffdeb9041201e80492afa2,d7020100050000025d0700000000000000001558ffffc77dffffdebaff7e045cfa9a7e7b
23816,-3285,12046,-5864,-1271,1512,-978,-10921,8560,19430,-1812,-74,1244,973,11613,0,,26650,d7020100050000015d08000000000000fffff32b00002f0effffe918fb0905e8fc2ef0b3,d7020100050000025d08000000000000ffffd5570000217000004be6f8ecffb604dc3069
23817,-5754,-9499,-17912,-1074,-1359,813,-15378,-18110,14243,-1129,-440,-1863,628,12723,0,11666,10522,d7020100050000015d09000000000000ffffe986ffffdae5ffffba08fbcefab1032df021,d7020100050000025d09000000000000ffffc3eeffffb942000037a3fb97fe48f8b936bf
23818,17251,6289,14915,-251,-1338,-1637,-3528,14446,1195,-117,6,-1066,260,14744,0,,26201,d7020100050000015d0a000000000000000043630000189100003a43ff05fac6f99bb538,d7020100050000025d0a000000000000fffff2380000386e000004abff8b0006fbd6eddb
23819,17866,-9941,-13633,-1247,-1745,547,14958,-7441,-16306,-994,1334,107,237,9528,0,,4674,d7020100050000015d0b000000000000000045caffffd92bffffcabffb21f92f0223c366,d7020100050000025d0b00000000000000003a6effffe2efffffc04efc1e0536006be05b
23820,3003,-758,-8714,-524,-1386,-1464,-3659,-12364,18725,192,65,403,644,3615,0,,30528,d7020100050000015d0c00000000000000000bbbfffffd0affffddf6fdf4fa96fa4839be,d7020100050000025d0c000000000000fffff1b5ffffcfb40000492500c00041019337e2
23821,-3750,9455,-10478,-1679,1972,-546,656,16372,-6695,-163,-1676,-1102,583,8116,0,1298,7399,d7020100050000015d0d000000000000fffff15a000024efffffd712f97107b4fddea00e,d7020100050000025d0d0000000000000000029000003ff4ffffe5d9ff5df974fbb287fe
23822,-10418,-1922,-2034,347,1114,808,-10651,5842,4613,1822,295,192,338,12062,0,3347,8269,d7020100050000015d0e000000000000ffffd74efffff87efffff80e015b045a03284c99,d7020100050000025d0e000000000000ffffd665000016d200001205071e012700c00923
23823,-18715,4587,-11412,1656,173,1587,-15059,15418,666,-791,-1407,-307,595,8817,0,4054,8842,d7020100050000015d0f000000000000ffffb6e5000011ebffffd36c067800ad06333bb9,d7020100050000025d0f000000000000ffffc52d00003c3a0000029afce9fa81fecd72bb
23824,6128,18920,-8320,-1859,430,220,-2779,-19438,10206,-1341,-1671,1509,354,3711,0,,43518,d7020100050000015d10000000000000000017f0000049e8ffffdf80f8bd01ae00dc6792,d7020100050000025d10000000000000fffff525ffffb412000027defac3f97905e5a905
23825,-1776,-17087,17763,-907,1271,1059,-6484,-11362,-67,1172,-1157,1853,529,12239,0,3489,15518,d7020100050000015d11000000000000fffff910ffffbd4100004563fc7504f70423ad42,d7020100050000025d11000000000000ffffe6acffffd39effffffbd0494fb7b073d55ed
23826,3949,-18498,-11559,1077,211,-1880,7328,-12953,-11707,1077,95,-1040,554,14550,0,1067,6431,d7020100050000015d1200000000000000000f6dffffb7beffffd2d9043500d3f8a8c41c,d7020100050000025d1200000000000000001ca0ffffcd67ffffd2450435005ffbf029ea
23827,-1590,-522,-16346,-1837,60,-753,9219,2265,14865,175,-1221,-202,230,7990,0,,33147,d7020100050000015d13000000000000fffff9cafffffdf6ffffc026f8d3003cfd0fbf7a,d7020100050000025d1300000000000000002403000008d900003a1100affb3bff36b6e2
23828,-11361,-8732,-4504,1921,1043,-1713,19376,-14163,-2602,1488,1765,496,483,4901,0,2331,30781,d7020100050000015d14000000000000ffffd39fffffdde4ffffee6807810413f94f4159,d7020100050000025d1400000000000000004bb0ffffc8adfffff5d605d006e501f0ab81
23829,5983,-7638,10647,-154,56,-374,-13248,16754,16323,-1415,123,-650,198,4253,0,,31575,d7020100050000015d150000000000000000175fffffe22a00002997ff660038fe8a0b5f,d7020100050000025d15000000000000ffffcc400000417200003fc3fa79007bfd766ebe
23830,-11585,-7633,-8117,933,-1866,507,1209,-7328,7651,1127,1665,-478,909,9182,0,888,20044,d7020100050000015d16000000000000ffffd2bfffffe22fffffe04b03a5f8b601fbf64b,d7020100050000025d16000000000000000004b9ffffe36000001de304670681fe22c6db
23831,7792,-10275,-1159,140,-810,1966,3663,-3376,3562,1006,1661,750,531,4453,0,,9323,d7020100050000015d1700000000000000001e70ffffd7ddfffffb79008cfcd607ae4a78,d7020100050000025d1700000000000000000e4ffffff2d000000dea03ee067d02ee676f
23832,-8423,-17180,324,1147,-1913,-9,13199,-78,5094,-1951,-134,1433,830,4087,0,2000,26895,d7020100050000015d18000000000000ffffdf19ffffbce400000144047bf887fff7d245,d7020100050000025d180000000000000000338fffffffb2000013e6f861ff7a05994177
23833,9557,11923,1948,-361,-1023,-317,-1753,-6802,-8221,1352,926,192,826,11196,0,8731,6999,d7020100050000015d190000000000000000255500002e930000079cfe97fc01fec3a72d,d7020100050000025d19000000000000fffff927ffffe56effffdfe30548039e00c05eef
23834,-17924,-650,-18270,-824,685,1200,-11984,3776,11720,1923,818,1681,795,9642,0,,30891,d7020100050000015d1a000000000000ffffb9fcfffffd76ffffb8a2fcc802ad04b080ba,d7020100050000025d1a000000000000ffffd13000000ec000002dc8078303320691554a
23835,17759,4564,8144,1583,537,357,13661,7091,-11957,-349,1654,1320,855,13556,0,1459,20363,d7020100050000015d1b0000000000000000455f000011d400001fd0062f02190165b69c,d7020100050000025d1b0000000000000000355d00001bb3ffffd14bfea306760528495e
23836,-18667,7089,-12012,-1703,774,1804,17040,-5950,-8583,275,-435,309,800,7039,0,,38167,d7020100050000015d1c000000000000ffffb71500001bb1ffffd114f9590306070ca99b,d7020100050000025d1c00000000000000004290ffffe8c2ffffde790113fe4d0135375a
23837,10880,-686,19305,717,-1033,-406,19656,-9343,15777,-829,771,1076,182,1706,0,4389,3656,d7020100050000015d1d00000000000000002a80fffffd5200004b6902cdfbf7fe6a78ec,d7020100050000025d1d00000000000000004cc8ffffdb8100003da1fcc303030434ac4e
23838,11114,-13935,-19726,-979,914,1409,-16177,-3428,11260,-127,-80,784,795,7098,0,25213,21851,d7020100050000015d1e00000000000000002b6affffc991ffffb2f2fc2d03920581974e,d7020100050000025d1e000000000000ffffc0cffffff29c00002bfcff81ffb003106200
23839,2315,9824,10399,293,1049,419,-13913,-11098,-5220,54,-1810,251,681,11021,0,,30741,d7020100050000015d1f0000000000000000090b000026600000289f0125041901a3e20f,d7020100050000025d1f000000000000ffffc9a7ffffd4a6ffffeb9c0036f8ee00fbdf7a
23840,-18144,-15527,-2839,899,-647,1804,-1043,-11497,3561,-90,-1526,1598,973,6905,0,12142,9233,d7020100050000015d20000000000000ffffb920ffffc359fffff4e90383fd79070cd74a,d7020100050000025d20000000000000fffffbedffffd31700000de9ffa6fa0a063ed91a
23841,-609,12611,-18323,-1384,-469,-1681,-4458,19855,-5348,1366,-462,692,599,4334,0,,15350,d7020100050000015d21000000000000fffffd9f00003143ffffb86dfa98fe2bf96feb11,d7020100050000025d21000000000000ffffee9600004d8fffffeb1c0556fe3202b4c55e
23842,7274,-18364,152,436,90,-478,7462,-4682,14796,-471,-1605,-277,601,2673,0,5465,17032,d7020100050000015d2200000000000000001c6affffb8440000009801b4005afe22b1be,d7020100050000025d2200000000000000001d26ffffedb6000039ccfe29f9bbfeeb1261
23843,-11771,-1885,7293,-237,-1322,-1355,1821,-14193,-17867,-783,-193,1531,467,8646,0,9486,8845,d7020100050000015d23000000000000ffffd205fffff8a300001c7dff13fad6fab5085e,d7020100050000025d230000000000000000071dffffc88fffffba35fcf1ff3f05fba453
23844,-7043,1334,-17874,-1204,-1400,-1413,-5481,-13435,18785,-821,-915,-1767,863,4527,0,38527,28487,d7020100050000015d24000000000000ffffe47d00000536ffffba2efb4cfa88fa7ba2c6,d7020100050000025d24000000000000ffffea97ffffcb8500004961fccbfc6df919cea5
23845,-7449,15805,2478,-234,-1745,1120,3800,-7358,-16585,458,-1826,1469,203,2044,0,,32038,d7020100050000015d25000000000000ffffe2e700003dbd000009aeff16f92f04601ada,d7020100050000025d2500000000000000000ed8ffffe342ffffbf3701caf8de05bdb4cb
23846,-13535,-9771,7878,-612,781,1435,18103,-5128,13820,-410,1295,-1171,994,4129,0,945,32426,d7020100050000015d26000000000000ffffcb21ffffd9d500001ec6fd9c030d059b353d,d7020100050000025d26000000000000000046b7ffffebf8000035fcfe66050ffb6d2adf
23847,19517,-4752,-17859,-12,278,224,-2379,12071,-5916,-839,754,-3,695,12072,0,,30084,d7020100050000015d2700000000000000004c3dffffed70ffffba3dfff4011600e0ab03,d7020100050000025d27000000000000fffff6b500002f27ffffe8e4fcb902f2fffd893e
23848,13363,-7782,-14918,1168,-353,-1022,-3756,10217,1315,1745,-690,-712,520,14901,0,20109,25712,d7020100050000015d2800000000000000003433ffffe19affffc5ba0490fe9ffc02680a,d7020100050000025d28000000000000fffff154000027e90000052306d1fd4efd3867fc
23849,-4783,16644,-12855,1217,-423,1824,-8325,19172,2244,163,1648,-1377,453,5492,0,2516,12160,d7020100050000015d29000000000000ffffed5100004104ffffcdc904c1fe590720ccb3,d7020100050000025d29000000000000ffffdf7b00004ae4000008c400a30670fa9f7a86
23850,-6606,-10610,-3782,-736,676,33,-17557,1071,561,-1218,1319,1021,583,5276,0,,16590,d7020100050000015d2a000000000000ffffe632ffffd68efffff13afd2002a400210860,d7020100050000025d2a000000000000ffffbb6b0000042f00000231fb3e052703fd5d71
23851,13135,10093,-11582,132,-1096,-3,-19876,-19665,19450,1024,-1634,-1900,551,12950,0,15437,42685,d7020100050000015d2b0000000000000000334f0000276dffffd2c20084fbb8fffdd734,d7020100050000025d2b000000000000ffffb25cffffb32f00004bfa0400f99ef894dfa2
